,OS,CPU_Threads,CPU_Boosted_Clock,CPU_L3(MB),CPU_TDP(W),GPU_Memory(GB),GPU_Memory_Type,GPU memory clock(MHz),RAM(GB),RAM_DDR,Storage(GB),Display_Inch,Display_Height(pixel),Weight(kg)
637,Windows,16,4.9,16,35,4,GDDR6,1500,32,5,1024,14.5,3072,1.45
1657,Windows,16,5.0,16,45,8,GDDR6,1750,32,4,1024,15.6,3840,2.23
1376,Windows,16,4.4,16,45,8,GDDR6,1750,16,4,1024,15.6,1920,2.3
733,Windows,16,4.4,12,28,0,,0,16,4,512,14.0,1920,0.98
608,Windows,12,4.4,12,15,0,,0,16,4,512,14.0,1920,1.613
406,Windows,16,4.5,16,15,0,,0,12,4,512,15.6,1920,1.879
1268,Windows,12,4.2,16,15,4,GDDR6,1500,16,4,512,14.0,1920,1.5
378,Windows,8,4.9,8,25,0,,0,16,4,512,15.6,1920,1.82
1123,Windows,8,4.7,12,28,0,,0,16,4,1024,15.6,1920,1.6
987,Windows,16,4.8,24,35,8,GDDR6,1750,16,4,1024,16.0,3840,1.86
1163,Windows,16,4.9,24,35,8,GDDR6,1750,32,4,2048,15.6,2560,2.1
1600,Windows,8,4.6,6,45,0,,0,8,4,256,14.0,1920,1.54
632,Windows,4,4.1,6,28,0,,0,8,4,256,15.6,1920,1.7
166,Windows,20,5.0,24,45,4,GDDR6,1500,16,4,1024,13.4,1920,1.185
143,Windows,12,4.7,12,9,0,,0,16,4,1024,17.3,2560,1.826
1564,Windows,2,2.8,4,6,0,,0,4,4,128,15.6,1920,1.63
630,Windows,12,4.2,16,15,0,,0,16,4,512,13.3,1920,1.378
1592,Windows,4,3.5,4,15,0,,0,8,4,1024,15.6,1366,1.96
1628,Windows,8,4.8,12,28,0,,0,16,4,512,14.0,1920,1.22
420,Windows,16,5.0,24,35,16,GDDR6,1750,64,4,512,17.3,1920,2.76
1748,Windows,12,5.0,12,45,4,GDDR5,1751,16,4,512,17.3,1920,2.97
26,Windows,12,4.0,8,15,4,GDDR5,2001,8,4,512,15.6,1920,2.15
1328,Windows,16,4.6,16,45,8,GDDR6,1750,32,4,1024,15.6,2560,2.3
1445,Windows,16,5.0,16,45,8,GDDR6,1750,16,4,1024,16.0,3840,2.4
45,Windows,20,4.7,24,45,0,,0,16,5,1024,14.0,2880,1.4
375,Windows,16,4.5,18,45,2,GDDR6,1500,16,5,512,15.6,1920,1.79
1277,Windows,8,4.7,12,28,2,GDDR5,1752,16,4,512,14.0,1920,1.05
884,Windows,8,4.7,12,28,0,,0,16,4,1024,14.0,3840,1.2
864,Windows,8,4.2,8,28,0,,0,8,4,512,14.0,1920,1.36
13,Windows,16,4.4,12,28,4,GDDR6,1500,16,5,512,14.0,2240,1.402
711,Windows,16,4.4,16,45,4,GDDR6,1500,8,4,512,15.6,1920,2.2
1028,Windows,16,4.4,16,45,8,GDDR6,1750,16,4,1024,15.6,1920,2.4
869,Windows,12,4.0,8,15,0,,0,8,4,256,14.0,1920,1.41
1061,Windows,8,3.6,6,15,0,,0,12,4,256,15.6,1366,1.85
1703,Windows,16,5.3,16,45,8,GDDR6,1625,32,4,1024,17.3,3840,2.922
179,Windows,8,4.7,12,28,0,,0,16,4,512,13.3,1920,1.3
1071,Windows,8,4.0,4,15,0,,0,8,4,512,14.0,1920,1.6
1817,Windows,8,4.2,8,28,0,,0,8,4,256,14.0,1920,1.41
27,Windows,4,3.3,4,6,0,,0,4,4,128,11.6,1920,1.49
1312,Windows,16,4.6,16,45,8,GDDR6,1750,32,4,2048,17.3,2560,2.7
1602,Windows,8,4.7,12,28,4,LPDDR4X,2133,16,4,1024,15.6,3840,1.936
