,Laptop_name,Year,OS,CPU,CPU_Cores,CPU_Threads,CPU_Default_Clock,CPU_Boosted_Clock,CPU_Transistor_Size(nm),CPU_L3(MB),CPU_TDP,GPU,GPU_Memory(GB),GPU_Memory_Type,GPU_Bus_Width(bit),GPU clock(MHz),GPU memory clock(MHz),RAM(GB),RAM_bus,RAM_DDR,Storage(GB),Storage_Type,Display_Inch,Display_Height(pixel),Display_Width(pixel),Weight(kg),Price(USD)
0,MSI CreatorPro Z16P B12UKST,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,rtx a3000 mobile,6,GDDR6,192,1260.0,1375.0,32,0,5,1024.0,SSD,16.0,2560,1600,2.372,3679.0
1,"Xiaomi RedmiBook Pro 15, i5-11320H iGPU",2022.0,Windows,core i5-11320h,4,8,2.5,4.5,10,8,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,15.6,3200,2000,1.745,
2,LG Ultra-PC 16 16U70Q-G.AR36G,2022.0,Windows,ryzen 3 5300u,4,8,2.6,3.8,7,4,15 W,radeon rx vega 6,0,,0,1500.0,0.0,8,0,4,512.0,SSD,16.0,1280,1200,1.599,
3,Lenovo Legion Slim 7-16IAH 82TF004YGE,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,5,1024.0,SSD,16.0,2560,1600,2.206,2313.0
4,Lenovo Legion S7 16ARHA7,2022.0,Windows,ryzen 9 6900hx,8,16,3.3,4.9,6,16,45 W,radeon rx 6800s,8,GDDR6,128,1800.0,2000.0,16,0,5,1024.0,SSD,16.0,2560,1600,2.181,1950.0
5,Huawei MateBook X Pro 2022,2022.0,Windows,core i7-1260p,12,16,2.1,4.7,10,18,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,14.2,3120,2080,1.268,2311.0
6,HP EliteBook 845 G9 6F6H9EA,2022.0,Windows,ryzen 5 pro 6650u,6,12,2.9,4.5,6,16,15 W,radeon 660m,0,,0,1500.0,0.0,16,0,5,512.0,SSD,14.0,1920,1200,1.424,1472.0
7,Gigabyte Aero 16 YE5,2022.0,Windows,core i9-12900hk,14,20,2.5,5.0,10,24,45 W,geforce rtx 3080 ti mobile,16,GDDR6,256,810.0,2000.0,32,0,5,1024.0,SSD,16.0,3840,2400,2.29,
8,Dell Latitude 9330,2022.0,Windows,core i7-1260u,10,12,1.1,4.7,10,12,9 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,5200,4,512.0,SSD,13.3,2560,1600,1.19,2700.0
9,Asus ROG Strix Scar 17 SE G733CX-LL014W,2022.0,Windows,core i9-12950hx,16,24,2.3,5.0,10,30,55 W,geforce rtx 3080 ti mobile,16,GDDR6,256,810.0,2000.0,32,0,5,2048.0,SSD,17.3,2560,1440,2.927,4205.0
