Laptop_name,Year,OS,CPU,CPU_Cores,CPU_Threads,CPU_Default_Clock,CPU_Boosted_Clock,CPU_Transistor_Size(nm),CPU_L3(MB),CPU_TDP,GPU,GPU_Memory(GB),GPU_Memory_Type,GPU_Bus_Width(bit),GPU clock,GPU memory clock,Memory,Storage,Display,Weight(kg),Price
MSI GT780R,2011,Windows,core i7-2630qm,4,8,2.0,2.9,32,6.0,45 W,geforce gtx 560m,1.5,GDDR5,192,775 MHz,625 MHz,"16 GB  ,, 4x 4096 MB DDR3-RAM (1333 MHz)","2x WDC Scorpio Blue WD5000BEVT-22A0RT0 (RAID 0), 500 GB  ","17.30 inch 16:9, 1920 x 1080 pixel, CMO1720, Full HD, LED Backlight, glossy: no",3.88,
LG P420-N.AE21G,2011,Windows,core i5-2410m,2,4,2.3,2.9,32,3.0,35 W,geforce gt 520m,1.0,DDR3,64,740 MHz,800 MHz,"4 GB  ,, A-Data AD73I1C1674EV ","Toshiba MK5059GSXP , 500 GB  ","14.00 inch 16:9, 1366 x 768 pixel, LG LP140WH2-TLL4, LED backlight, HD-ready, glare, glossy: yes",2.0,800 Euro
Gigabyte P2532N,2011,Windows,core i7-2630qm,4,8,2.0,2.9,32,6.0,45 W,geforce gt 550m,1.0,DDR3,128,740 MHz,900 MHz,"8 GB  ,, 2x 4096 MB DDR3-RAM (1333 MHz), max. 8 GB, 2 slots","WDC Scorpio Black WD7500BPKT-75PKA4T0, 750 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, LG Philips LP156WF1-TLC1, Full HD, LED backlight, glossy: yes",2.662,1199 Euro
Acer Aspire S3-951-2464G34iss,2011,Windows,core i5-2467m,2,4,1.6,,32,3.0,17 W,hd graphics 3000,,,,650 MHz,System Shared,4 GB  ,,"13.30 inch 16:9, 1366 x 768 pixel, glossy: yes",1.4,900 Euro
MSI Wind U135,2010,Windows,atom n450,1,2,1.667,,45,,6 W,gma,,,,,System Shared,"1024 MB  ,, DDR2, max 2GB","Fujitsu MJA2250BH G2, 250 GB  ","10.10 inch 16:9, 1024 x 600 pixel, WSVGA LED TFT, glossy: yes",1.27,300 Euro
Acer Iconia Tab W500,2011,Windows,c-50,2,2,1.0,,40,,9 W,radeon hd 6250,,,,500 MHz,System Shared,,,"10.10 inch 16:10, 1280 x 800 pixel, glossy: yes",0.97,500 Euro
Acer Iconia Tab W500,2011,Windows,c-50,2,2,1.0,,40,,9 W,radeon hd 6250,0.5,GDDR3,64,650 MHz,500 MHz,,,"10.10 inch 16:10, 1280 x 800 pixel, glossy: yes",0.97,500 Euro
LG S210-K.CBMAG,2010,Windows,core 2 duo t9550,2,2,2.667,,45,,35 W,geforce 9300m g,0.25,GDDR3,64,400 MHz,600 MHz,"4 GB  ,, PC3-8500 DDR3 SD RAM","320 GB - 5400 rpm, 320 GB  ","12.10 inch 16:9, 1280 x 800 pixel, Finebright, glossy: yes",1.765,1450 Euro
Lenovo ThinkPad Edge 15,2010,Windows,core i3-350m,2,4,2.267,,32,3.0,35 W,gma,,,,,System Shared,"4 GB  ,, Micron DDR3-1066, 2x 2 GB","320 GB - 7200 rpm, 320 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LG Display LEN40B0 / LP156WH2-TLAA, LED backlight, glossy: yes",2.561,700 Euro
Lenovo Thinkpad T510 - 4349-4JG,2010,Windows,core i7-620m,2,4,2.677,3.333,32,4.0,35 W,nvs 3100m,0.5,GDDR3,64,606 MHz,790 MHz,"4 GB  ,, DDR3 PC3-8500F (533 MHz)","Seagate Momentus 7200.4 ST9320423AS, 320 GB  ","15.60 inch 16:9, 1600 x 900 pixel, LEN40B1, LP156WD1-TLB2, glossy: no",2.81,1800 Euro
HP ProBook 4720s-WT237EA/WS912EA,2010,Windows,core i5-460m,2,4,2.534,2.8,32,3.0,35 W,mobility radeon hd 5470,0.5,GDDR5,64,750 MHz,800 MHz,4 GB  ,"Seagate Momentus 7200.4 ST9500420AS, 500 GB  ","17.30 inch 16:9, 1600 x 900 pixel, LP173WD1-TLD3, WXGA++ , glossy: no",3.115,899 Euro
