Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
Acer Swift 3 SF314-43-R8BP,2022,AMD Ryzen 5 5500U,AMD Radeon RX Vega 7,"16 GB  ,, DDR4 Dual Channel, onboard, no upgrade",", 512 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, Chi Mei N140HCA EAC CMN, IPS, glossy: no, 60 Hz","1.319 kg ( = 46.53 oz / 2.91 pounds), Power Supply: 313 g ( = 11.04 oz / 0.69 pounds)",750 Euro
Acer Swift 1 SF114-34-P6U1,2021,Intel Pentium Silver N6000,Intel UHD Graphics (Jasper Lake 32 EU),"4 GB  ,, LPDDR4, Single-Channel-Mode, onboard, no memory slots","128 GB eMMC Flash, 128 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, Chi Mei N140HCA-EAC, IPS, glossy: no, 60 Hz","1.3 kg ( = 45.86 oz / 2.87 pounds), Power Supply: 158 g ( = 5.57 oz / 0.35 pounds)",349 Euro
Acer Predator Triton 300 PT315-52-73S0,2020,Intel Core i7-10750H,NVIDIA GeForce RTX 2070 Mobile,"16 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no, 120 Hz",2 kg ( = 70.55 oz / 4.41 pounds) ( = 0 oz / 0 pounds),1550 Euro
Acer Nitro 5 AN517-51-75JE,2020,Intel Core i7-9750H,NVIDIA GeForce RTX 2060 Mobile,"16 GB  ,, DDR4-2400", 1TB SSD,"17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, IPS, glossy: no, 120 Hz",2.7 kg ( = 95.24 oz / 5.95 pounds) ( = 0 oz / 0 pounds),1700 Euro
Acer Aspire 7 A715-71G-56BD,2017,Intel Core i5-7300HQ,NVIDIA GeForce GTX 1050 Mobile,8 GB  , 1000 GB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.4 kg ( = 84.66 oz / 5.29 pounds) ( = 0 oz / 0 pounds),
Asus VivoBook 14 X403FA,2019,Intel Core i5-8265U,Intel UHD Graphics 620,"16 GB  ,, DDR4-2400, dual-channel, memory soldered in, no storage slots","Intel SSD 660p SSDPEKNW512G8, 512 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 162 PPI, Chi Mei N140HCA-EAC, IPS, glossy: no","1.32 kg ( = 46.56 oz / 2.91 pounds), Power Supply: 154 g ( = 5.43 oz / 0.34 pounds)",699 Euro
Acer Aspire E5-575G-549D,2016,Intel Core i5-7200U,NVIDIA GeForce GTX 950M,"8 GB  ,, 1x 8 GB DDR4-2133, 1 of 2 slots filled",", 1000 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, Chi Mei CMN15C4, TN, LED backlight, glossy: no","2.4 kg ( = 84.66 oz / 5.29 pounds), Power Supply: 460 g ( = 16.23 oz / 1.01 pounds)",630 Euro
Acer Aspire V15 Nitro VN7-571G-574H,2015,Intel Core i5-5200U,NVIDIA GeForce GTX 850M,"8 GB  ,, DDR3, dual-channel, two memory banks (both filled)","Seagate ST500LM000 Solid State Hybrid Drive, 500 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, LG Philips LP156WF6-SPB1, IPS, glossy: no","2.4 kg ( = 84.66 oz / 5.29 pounds), Power Supply: 518 g ( = 18.27 oz / 1.14 pounds)",729 Euro
Acer Aspire E5-551G-F1EW,2014,AMD FX-7500,AMD Radeon R7 M265,"8 GB  ,, DDR3, dual-channel, two memory banks (both filled)","Seagate ST1000LM014 Solid State Hybrid Drive, 1000 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, Chi Mei N156HGE-EA2, TN LED, glossy: no","2.5 kg ( = 88.19 oz / 5.51 pounds), Power Supply: 452 g ( = 15.94 oz / 1 pounds)",599 Euro
Acer Aspire E1-532,2013,Intel Celeron 2955U,Intel HD Graphics (Haswell),"2048 MB  ,, DDR3, Single channel, 1 slot (occupied),2 USB 2.0, 1 USB 3.0 / 3.1 Gen1, 1 VGA, 1 HDMI, 1 Kensington Lock, Audio Connections: Combined headphone/microphone jack, Card Reader: SD, MMC, xD, Memory Stick, Memory Stick Pro","Seagate Momentus Thin ST500LT0 12-9WS142, 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, ChiMei N156BGE-E31, TN LED, glossy: no","2.35 kg ( = 82.89 oz / 5.18 pounds), Power Supply: 219 g ( = 7.73 oz / 0.48 pounds)",259 Euro
Dell Vostro 2520,2012,Intel Core i3-2328M,Intel HD Graphics 3000,"4 GB  ,, DDR3,3 USB 2.0, 1 VGA, 1 HDMI, 1 Kensington Lock, Audio Connections: headphone in, microphone out, Card Reader: SD, MMC, Memory Stick","Seagate Momentus Thin ST500LT0 12-9WS142, 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LG Philips 156WH4, TN LED, glossy: no","2.36 kg ( = 83.25 oz / 5.2 pounds), Power Supply: 249.5 g ( = 8.8 oz / 0.55 pounds)",399 Euro
Acer Aspire E1-531-B9606G50Mnks,2012,Intel Pentium B960,Intel HD Graphics (Sandy Bridge),6 GB  ,"Western Digital Scorpio Blue WD5000LPVT, 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, N15B6-L0B, WXGA TFT, glossy: yes",2.5 kg ( = 88.19 oz / 5.51 pounds) ( = 0 oz / 0 pounds),330 Euro
HP Compaq Presario CQ56-103SG,2010,AMD V-Series V140,ATI Radeon HD 4250,"2048 MB  ,, PC3-10600, 2 Slots","Hitachi Travelstar 5K500.B HTS545025B9A300, 250 GB  ","15.60 inch 16:9, 1366 x 768 pixel, BT156GW01, glossy: yes","2.436 kg ( = 85.93 oz / 5.37 pounds), Power Supply: 255 g ( = 8.99 oz / 0.56 pounds)",349 Euro
HP Compaq Presario CQ56-103SG,2010,AMD V-Series V140,ATI Radeon HD 4250,"2048 MB  ,, PC3-10600, 2 Slots","Hitachi Travelstar 5K500.B HTS545025B9A300, 250 GB  ","15.60 inch 16:9, 1366 x 768 pixel, BT156GW01, glossy: yes","2.436 kg ( = 85.93 oz / 5.37 pounds), Power Supply: 255 g ( = 8.99 oz / 0.56 pounds)",349 Euro
Asus Eee PC 701 4GRM miniBook),2008,,Intel Graphics Media Accelerator (GMA) 900,"512 MB  ,, DDR2 (1x 512MB)","Silicon Motion SM223A, 4 GB  ","7.00 inch 16:10, 800 x 480 pixel, glossy: no","1000 g ( = 35.27 oz / 2.2 pounds), Power Supply: 200 g ( = 7.05 oz / 0.44 pounds)",299 Euro
