Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
Apple MacBook Air M2 10C GPU,2022,Apple M2,Apple M2 10-Core GPU,"16 GB  ,, LPDDR5-6400, onboard","Apple SSD AP1024Z, 1024 GB  ","13.60 inch 16:10, 2560 x 1664 pixel 225 PPI, IPS, glossy: yes, 60 Hz","1.23 kg ( = 43.39 oz / 2.71 pounds), Power Supply: 189 g ( = 6.67 oz / 0.42 pounds)",2309 Euro
Apple MacBook Pro 16 2021 M1 Max,2021,Apple M1 Max,Apple M1 Max 32-Core GPU,"64 GB  ,, LPDDR5-6400","Apple SSD AP2048R, 2048 GB  ","16.20 inch 16:10, 3456 x 2234 pixel 254 PPI, Mini-LED, glossy: yes, HDR, 120 Hz","2.2 kg ( = 77.6 oz / 4.85 pounds), Power Supply: 353 g ( = 12.45 oz / 0.78 pounds)",4769 Euro
Apple MacBook Air 2020 M1 Entry,2020,Apple M1,Apple M1 7-Core GPU,"8 GB  ,, LPDDR4X","Apple SSD AP0256Q, 256 GB  ","13.30 inch 16:10, 2560 x 1600 pixel 227 PPI, IPS, glossy: yes, 60 Hz","1.272 kg ( = 44.87 oz / 2.8 pounds), Power Supply: 172 g ( = 6.07 oz / 0.38 pounds)",1129 Euro
Apple MacBook Pro 16 2019 i9 5500M,2019,Intel Core i9-9880H,AMD Radeon Pro 5500M,"16 GB  ,, DDR4-2666",", 1024 GB  ","16.00 inch 16:10, 3072 x 1920 pixel 226 PPI, APPA044, IPS, Retina, glossy: yes","2 kg ( = 70.55 oz / 4.41 pounds), Power Supply: 359 g ( = 12.66 oz / 0.79 pounds)",3199 Euro
Apple MacBook Pro 13 2018 Touchbar i5,2018,Intel Core i5-8259U,Intel Iris Plus Graphics 655,"8 GB  ,, LPDDR3-2133, soldered",,"13.30 inch 16:10, 2560 x 1600 pixel 227 PPI, APPA03E, IPS, TrueTone, glossy: yes","1.37 kg ( = 48.33 oz / 3.02 pounds), Power Supply: 269 g ( = 9.49 oz / 0.59 pounds)",1999 Euro
"Apple MacBook Air 13.3"" 1.8 GHz2017)",2017,Intel Core i5-5350U,Intel HD Graphics 6000,"8 GB  ,, 1600 MHz LPDDR3 onboard","Apple SSD SM0128G, 128 GB  ","13.30 inch 16:10, 1440 x 900 pixel 128 PPI, TN LED, glossy: yes","1.35 kg ( = 47.62 oz / 2.98 pounds), Power Supply: 200 g ( = 7.05 oz / 0.44 pounds)",1099 Euro
Apple MacBook 12 2017,2017,Intel Core m3-7Y32,Intel HD Graphics 615,"8 GB  ,, 1866 MHz LPDDR3 (on‑board)","Apple SSD AP0256, 256 GB  ","12.00 inch 16:10, 2304 x 1440 pixel 226 PPI, APPA027, LED IPS, Retina display, glossy: yes",920 g ( = 32.45 oz / 2.03 pounds) ( = 0 oz / 0 pounds),1499 Euro
Apple MacBook 12Early 2016) 1.2 GHz,2016,Intel Core m5-6Y54,Intel HD Graphics 515,"8 GB  ,, DDR3L-1866 verlötet", NVMe,"12.00 inch 16:10, 2304 x 1440 pixel 226 PPI, IPS, glossy: yes",920 g ( = 32.45 oz / 2.03 pounds) ( = 0 oz / 0 pounds),1449 Euro
Apple MacBook Air 13 MD761D/B 2014-06,2014,Intel Core i5-4260U,Intel HD Graphics 5000,"4 GB  ,, 2x 2GB LPDDR3 SDRAM @ 1600 MHz","Apple SSD SD0256F, 256 GB  ","13.30 inch 16:10, 1440 x 900 pixel, LP133WP1-TJA7, APP9CDF, TN LED, glossy: yes",1.4 kg ( = 49.38 oz / 3.09 pounds) ( = 0 oz / 0 pounds),1199 Euro
Apple MacBook Pro Retina 13 inch 2013-10,2013,Intel Core i5-4258U,Intel Iris Graphics 5100,"8 GB  ,, DDR3L 800MHz 11-11-11-28 Dual-Channel","Apple SSD SM0256F, 256 GB  ","13.30 inch 16:10, 2560 x 1440 pixel, APPA020, IPS, glossy: yes","1.563 kg ( = 55.13 oz / 3.45 pounds), Power Supply: 247 g ( = 8.71 oz / 0.54 pounds)",1499 Euro
Apple MacBook Pro Retina 13 inch 2012-10,2012,Intel Core i5-3210M,Intel HD Graphics 4000,"8 GB  ,, 1600 MHz, DDR3L, Hynix, H5TC4G83MFR, onboard",", 256 GB  ","13.30 inch 16:10, 2560 x 1600 pixel, Apple APPA014, IPS LED, 13.3-inch, Retina display, 227 DPI, glossy: yes","1.624 kg ( = 57.28 oz / 3.58 pounds), Power Supply: 225 g ( = 7.94 oz / 0.5 pounds)",2049 Euro
Apple MacBook Pro 15 inch 2011-10 MD322,2011,Intel Core i7-2760QM,AMD Radeon HD 6770M,"4 GB  ,, DDR3","Toshiba MK7559GSXF, 750 GB  ","15.60 inch 16:10, 1440 x 900 pixel, LP154WP4-TLA1, glossy: yes","2.54 kg ( = 89.6 oz / 5.6 pounds), Power Supply: 321 g ( = 11.32 oz / 0.71 pounds)",2149 Euro
Apple Macbook Air 13 inch 2010-10,2010,Intel Core 2 Duo SL9400,NVIDIA GeForce 320M,"2048 MB  ,, DDR3 soldered",,"13.30 inch 16:10, 1440 x 900 pixel, LED backlight, LTH133BT01A01 (9CF0), glossy: yes","1.327 kg ( = 46.81 oz / 2.93 pounds), Power Supply: 185 g ( = 6.53 oz / 0.41 pounds)",1599 Euro
Apple Macbook Pro 17 inch 2009-03,2009,Intel Core 2 Duo T9550,NVIDIA GeForce 9600M GT,"4 GB  ,, PC3-8500F (533 MHz) DDR3 7-7-7-20-27 Samsung",", 160 GB  ","17.00 inch 16:10, 1920 x 1200 pixel, glossy or optional non glossy, glossy: yes","2.98 kg ( = 105.12 oz / 6.57 pounds), Power Supply: 297 g ( = 10.48 oz / 0.65 pounds)",2499 Euro
Apple MacBook Air,2008,Intel Core 2 Duo SP7500,Intel Graphics Media Accelerator (GMA) X3100,"2048 MB  ,, DDR2",", 80 GB  ","13.30 inch 16:10, 1280 x 800 pixel, LED background lightening, TN-Panel, glossy: yes","1.37 kg ( = 48.33 oz / 3.02 pounds), Power Supply: 0 g ( = 0 oz / 0 pounds)",1700 Euro
"Apple MacBook Pro 15"" 2.2GHz",2007,Intel Core 2 Duo T7500,NVIDIA GeForce 8600M GT,"2048 MB  ,, DDR2 PC5300 667Mhz SDRAM, max. 4096MB, 2x1024MB",", 120 GB  ","15.40 inch 16:10, 1440 x 900 pixel, WXGA+ TFT display with LED technology, optionally available in a mirroring variant, glossy: no","2.41 kg ( = 85.01 oz / 5.31 pounds), Power Supply: 500 g ( = 17.64 oz / 1.1 pounds)",2338 Euro
"Apple MacBook Pro 15"" 2.4GHz",2007,Intel Core 2 Duo T7700,NVIDIA GeForce 8600M GT,"2048 MB  ,, DDR2 PC5300 667Mhz SDRAM, max. 4096MB, 2x1024MB","160 GB - 5400 rpm, 160 GB  ","15.40 inch 16:10, 1440 x 900 pixel, WXGA+ TFT Display mit LED Technologie, optional auch spiegelnd erhältlich, glossy: no",2.41 kg ( = 85.01 oz / 5.31 pounds) ( = 0 oz / 0 pounds),2400 Euro
