Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
MSI GT780R,2011,Intel Core i7-2630QM,NVIDIA GeForce GTX 560M,"16 GB  ,, 4x 4096 MB DDR3-RAM (1333 MHz)","2x WDC Scorpio Blue WD5000BEVT-22A0RT0 (RAID 0), 500 GB  ","17.30 inch 16:9, 1920 x 1080 pixel, CMO1720, Full HD, LED Backlight, glossy: no","3.88 kg ( = 136.86 oz / 8.55 pounds), Power Supply: 780 g ( = 27.51 oz / 1.72 pounds)",
LG A520-T.AE31G,2011,Intel Core i7-2820QM,NVIDIA GeForce GT 540M,"8 GB  ,, 2x4096MB PC3-10700 667MHz","Toshiba MK7559GSXP, 750 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, LP156WF2-TLA1, FPR, 3D TriDef with polarized eyeglasses, glossy: yes","2.557 kg ( = 90.2 oz / 5.64 pounds), Power Supply: 358 g ( = 12.63 oz / 0.79 pounds)",1500 Euro
LG P530-K.AN51G,2011,Intel Core i5-2520M,NVIDIA GeForce GT 520M,"4 GB  ,, DDR3-1333 (1x4 GByte, max. 8GByte, 2 Bänke)","Toshiba MK5059GSXP , 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LGD0320, LED-Backlight, glossy: yes","2.2 kg ( = 77.6 oz / 4.85 pounds), Power Supply: 317 g ( = 11.18 oz / 0.7 pounds)",1000 Euro
LG P420-N.AE21G,2011,Intel Core i5-2410M,NVIDIA GeForce GT 520M,"4 GB  ,, A-Data AD73I1C1674EV ","Toshiba MK5059GSXP , 500 GB  ","14.00 inch 16:9, 1366 x 768 pixel, LG LP140WH2-TLL4, LED backlight, HD-ready, glare, glossy: yes","2 kg ( = 70.55 oz / 4.41 pounds), Power Supply: 524 g ( = 18.48 oz / 1.16 pounds)",800 Euro
Lenovo ThinkPad T420s 4174-PEG,2011,Intel Core i7-2640M,NVIDIA NVS 4200M,"4 GB  ,, 1x 4096 MB DDR3-RAM (1333 MHz), 2 slots","Intel SSD 320 Series SSDSA2BW160G3L, 160 GB  ","14.00 inch 16:9, 1600 x 900 pixel, AU Optronics B140RW02, LED backlight, glossy: no","1.7 kg ( = 59.97 oz / 3.75 pounds), Power Supply: 200 g ( = 7.05 oz / 0.44 pounds)",1800 Euro
Gigabyte P2532N,2011,Intel Core i7-2630QM,NVIDIA GeForce GT 550M,"8 GB  ,, 2x 4096 MB DDR3-RAM (1333 MHz), max. 8 GB, 2 slots","WDC Scorpio Black WD7500BPKT-75PKA4T0, 750 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, LG Philips LP156WF1-TLC1, Full HD, LED backlight, glossy: yes","2.662 kg ( = 93.9 oz / 5.87 pounds), Power Supply: 546 g ( = 19.26 oz / 1.2 pounds)",1199 Euro
HP Probook 6360b,2011,Intel Core i5-2540M,Intel HD Graphics 3000,4 GB  ,"Toshiba MK5061GSYN, 500 GB  ","13.30 inch 16:9, 1366 x 768 pixel, CMO1330, glossy: no","2.17 kg ( = 76.54 oz / 4.78 pounds), Power Supply: 410 g ( = 14.46 oz / 0.9 pounds)",
Dell Latitude E6420,2011,Intel Core i3-2310M,NVIDIA NVS 4200M,"4 GB  ,, PC3-10700,2x2048MB, max. 8192MB","Seagate Momentus 7200.4 ST9250410AS, 250 GB  ","14.00 inch 16:9, 1600 x 900 pixel, SEC544B, LED TFT, glossy: no","2.67 kg ( = 94.18 oz / 5.89 pounds), Power Supply: 440 g ( = 15.52 oz / 0.97 pounds)",1519 Euro
Asus UX31E-RY012V,2011,Intel Core i7-2677M,Intel HD Graphics 3000,4 GB  ,,"13.30 inch 16:9, 1600 x 900 pixel, glossy: yes",1.3 kg ( = 45.86 oz / 2.87 pounds) ( = 0 oz / 0 pounds),
Acer Aspire S3-951-2464G34iss,2011,Intel Core i5-2467M,Intel HD Graphics 3000,4 GB  ,,"13.30 inch 16:9, 1366 x 768 pixel, glossy: yes",1.4 kg ( = 49.38 oz / 3.09 pounds) ( = 0 oz / 0 pounds),900 Euro
