CPU,Cores,Clock,Process,L3 Cache,TDP
Athlon 1000,1 ,1000 MHz,180 nm,N/A,54 W
Athlon 1000,1 ,1000 MHz,180 nm,N/A,54 W
Athlon 1100,1 ,1100 MHz,180 nm,N/A,60 W
Athlon 1133,1 ,1133 MHz,180 nm,N/A,63 W
Athlon 1200,1 ,1200 MHz,180 nm,N/A,66 W
Athlon 1200,1 ,1200 MHz,180 nm,N/A,66 W
Athlon 600,1 ,600 MHz,180 nm,N/A,38 W
Athlon 650,1 ,650 MHz,180 nm,N/A,38 W
Athlon 700,1 ,700 MHz,180 nm,N/A,40 W
Athlon 750,1 ,750 MHz,180 nm,N/A,43 W
Athlon 800,1 ,800 MHz,180 nm,N/A,45 W
Athlon 850,1 ,850 MHz,180 nm,N/A,47 W
Athlon 900,1 ,900 MHz,180 nm,N/A,50 W
Athlon 950,1 ,950 MHz,180 nm,N/A,52 W
Athlon 1300,1 ,1300 MHz,180 nm,N/A,68 W
Athlon 1333,1 ,1333 MHz,180 nm,N/A,70 W
Athlon 1400,1 ,1400 MHz,180 nm,N/A,72 W
Athlon 1400,1 ,1400 MHz,180 nm,N/A,72 W
Athlon 64 3000+,1 ,2000 MHz,90 nm,N/A,51 W
Athlon 64 3000+,1 ,2000 MHz,90 nm,N/A,51 W
Athlon 64 3200+,1 ,2.2 GHz,130 nm,N/A,89 W
Athlon 64 3200+,1 ,2.2 GHz,90 nm,N/A,59 W
Athlon 64 3400+,1 ,2.4 GHz,130 nm,N/A,89 W
Athlon 64 3400+,1 ,2.2 GHz,90 nm,N/A,67 W
Athlon 64 3400+,1 ,2.4 GHz,90 nm,N/A,67 W
Athlon 64 3500+,1 ,2.2 GHz,90 nm,N/A,67 W
Athlon 64 4000+,1 ,2.4 GHz,90 nm,N/A,89 W
Athlon 64 X2 3600+,2 ,2000 MHz,90 nm,N/A,89 W
Athlon XP 1500+,1 ,1333 MHz,180 nm,N/A,60 W
Athlon XP 1600+,1 ,1400 MHz,180 nm,N/A,63 W
Athlon XP 1600+,1 ,1400 MHz,130 nm,N/A,49 W
Athlon XP 1700+,1 ,1467 MHz,180 nm,N/A,64 W
Athlon XP 1700+,1 ,1467 MHz,130 nm,N/A,50 W
Athlon XP 1700+,1 ,1467 MHz,130 nm,N/A,50 W
Athlon XP 1800+,1 ,1533 MHz,180 nm,N/A,66 W
Athlon XP 1800+,1 ,1533 MHz,130 nm,N/A,51 W
Athlon XP 1900+,1 ,1600 MHz,130 nm,N/A,53 W
Athlon XP 1900+,1 ,1600 MHz,180 nm,N/A,68 W
Athlon XP 2100+,1 ,1733 MHz,130 nm,N/A,62 W
Athlon XP 2200+,1 ,1800 MHz,130 nm,N/A,63 W
Sempron 2200+,1 ,1500 MHz,130 nm,N/A,62 W
Sempron 2300+,1 ,1583 MHz,130 nm,N/A,62 W
Sempron 2400+,1 ,1667 MHz,130 nm,N/A,62 W
Sempron 2500+,1 ,1750 MHz,130 nm,N/A,62 W
Sempron 2600+,1 ,1600 MHz,130 nm,N/A,25 W
Sempron 2600+,1 ,1833 MHz,130 nm,N/A,62 W
Sempron 2800+,1 ,1600 MHz,130 nm,N/A,25 W
Sempron 2800+,1 ,2000 MHz,130 nm,N/A,62 W
Sempron 3000+,1 ,1800 MHz,130 nm,N/A,25 W
Sempron 3100+,1 ,1800 MHz,130 nm,N/A,25 W
Sempron 3300+,1 ,2.2 GHz,130 nm,N/A,62 W
Celeron 2.30,1 ,2.3 GHz,130 nm,N/A,73 W
Celeron 2.40,1 ,2.4 GHz,130 nm,N/A,73 W
Celeron 2.60,1 ,2.6 GHz,130 nm,N/A,73 W
Celeron 2.70,1 ,2.7 GHz,130 nm,N/A,73 W
Celeron 2.80,1 ,2.8 GHz,130 nm,N/A,73 W
Mobile Pentium 4 2.40,1  / 2,2.4 GHz,130 nm,N/A,60 W
Mobile Pentium 4 2.66,1  / 2,2.667 GHz,130 nm,N/A,66 W
Mobile Pentium 4 2.80,1  / 2,2.8 GHz,130 nm,N/A,68 W
Mobile Pentium 4 3.06,1  / 2,3.067 GHz,130 nm,N/A,70 W
Mobile Pentium 4 HT 2.66,1  / 2,2.667 GHz,130 nm,N/A,66 W
Mobile Pentium 4 HT 2.80,1  / 2,2.8 GHz,130 nm,N/A,68 W
Mobile Pentium 4 HT 3.06,1  / 2,3.067 GHz,130 nm,N/A,70 W
Mobile Pentium 4 HT 3.20,1  / 2,3.2 GHz,130 nm,N/A,76 W
Pentium 4 HT 2.40,1  / 2,2.4 GHz,130 nm,N/A,66 W
Pentium 4 HT 2.60,1  / 2,2.6 GHz,130 nm,N/A,69 W
Pentium 4 HT 2.80,1  / 2,2.8 GHz,130 nm,N/A,70 W
Pentium 4 HT 3.00,1  / 2,3 GHz,130 nm,N/A,82 W
Pentium 4 HT 3.06,1  / 2,3.06 GHz,130 nm,N/A,110 W
Pentium 4 HT 3.20,1  / 2,3.2 GHz,130 nm,N/A,82 W
Pentium 4 HT EE 3.20,1  / 2,3.2 GHz,130 nm,2MB,110 W
Pentium 4-M 2.40,1 ,2.4 GHz,130 nm,N/A,35 W
Pentium 4-M 2.50,1 ,2.5 GHz,130 nm,N/A,35 W
Pentium 4-M 2.60,1 ,2.6 GHz,130 nm,N/A,35 W
Pentium M 1.30,1 ,1300 MHz,130 nm,N/A,24 W
Pentium M 1.40,1 ,1400 MHz,130 nm,N/A,24 W
Pentium M 1.50,1 ,1500 MHz,130 nm,N/A,24 W
Pentium M 1.60,1 ,1600 MHz,130 nm,N/A,24 W
Pentium M 1.70,1 ,1700 MHz,130 nm,N/A,24 W
Xeon 3.06,1 ,3.066 GHz,130 nm,1MB,97 W
Xeon 3.06,1 ,3.066 GHz,130 nm,2MB,97 W
Xeon 3.06,1 ,3.066 GHz,130 nm,N/A,89 W
Xeon 3.20,1 ,3.2 GHz,130 nm,1MB,97 W
Athlon XP 1800+,1 ,1533 MHz,130 nm,N/A,51 W
