Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
MSI Creator 17 A10SGS,2020,Intel Core i7-10875H,NVIDIA GeForce RTX 2080 Super Max-Q,"32 GB  ,, 2x 16 GB SO-DIMM DDR4-2666, dual channel, all slots occupied, max. 64 GB","Samsung SSD PM981 MZVLB2T0HMLB, 2048 GB  ","17.30 inch 16:9, 3840 x 2160 pixel 255 PPI, B173ZAN05.0 (AUO278E), Mini LED IPS level, 4K/UHD, glossy: no, HDR, 60 Hz","2.39 kg ( = 84.3 oz / 5.27 pounds), Power Supply: 725 g ( = 25.57 oz / 1.6 pounds)",4200 EUR
LG Gram 17 Z90N-R.AAS9U1,2020,Intel Core i7-1065G7,Intel Iris Plus Graphics G7 (Ice Lake 64 EU),"16 GB  ,, DDR4-3200", 1TB (2 x 512GB) M.2 2280 SSD ,"17.00 inch 16:10, 2560 x 1600 pixel 178 PPI, IPS",1.35 kg ( = 47.62 oz / 2.98 pounds) ( = 0 oz / 0 pounds),1700 Euro
"Lenovo Yoga 9 14ITL5, i7-1185G7",2020,Intel Core i7-1185G7,Intel Iris Xe Graphics G7 96EUs,"8 GB  ,, DDR4X 4266MHz Onboard", 1TB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, Capacitive, IPS, glossy: yes",1.35 kg ( = 47.62 oz / 2.98 pounds) ( = 0 oz / 0 pounds),1700 Euro
Huawei MateBook D 15-53010TUY,2020,AMD Ryzen 5 3500U,AMD Radeon RX Vega 8 (Ryzen 2000/3000),"8 GB  ,, Dual-channel","Samsung SSD PM981 MZVLB256HAHQ, 256 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, AU Optronics AUO28ED, IPS, glossy: no","1.523 kg ( = 53.72 oz / 3.36 pounds), Power Supply: 200 g ( = 7.05 oz / 0.44 pounds)",650 Euro
HP Pavilion 15-cs3019nr,2020,Intel Core i7-1065G7,Intel Iris Plus Graphics G7 (Ice Lake 64 EU),16 GB  , 512 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI",1.9 kg ( = 67.02 oz / 4.19 pounds) ( = 0 oz / 0 pounds),
Gigabyte Aero 17 HDR XB,2020,Intel Core i7-10875H,NVIDIA GeForce RTX 2070 Super Max-Q,"16 GB  ,, 2x 8 GB SO-DIMM DDR4-3200, dual channel, all slots occupied, 64 GB max.",", 512 GB  ","17.30 inch 16:9, 3840 x 2160 pixel 255 PPI, AUO B173ZAN03.2 (AUO329B), IPS, X-Rite Pantone, UHD/4K, glossy: no, HDR, 60 Hz","2.656 kg ( = 93.69 oz / 5.86 pounds), Power Supply: 724 g ( = 25.54 oz / 1.6 pounds)",2600 EUR
Dell G3 15 3500-3KJ99,2020,Intel Core i5-10300H,NVIDIA GeForce GTX 1650 Mobile,"8 GB  ,, DDR4-2933", 512GB M.2 SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no, 60 Hz",2.56 kg ( = 90.3 oz / 5.64 pounds) ( = 0 oz / 0 pounds),900 Euro
Asus ExpertBook B9 B9400CEA-KC0167R,2020,Intel Core i7-1165G7,Intel Iris Xe Graphics G7 96EUs,"32 GB  ,, DDR4X-4266", 2TB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, glossy: yes, 60 Hz",1000 g ( = 35.27 oz / 2.2 pounds) ( = 0 oz / 0 pounds),3100 Euro
Acer Swift 3 SF313-53-78UG,2020,Intel Core i7-1165G7,Intel Iris Xe Graphics G7 96EUs,"8 GB  ,, DDR4", 512GB,"13.50 inch 3:2, 2256 x 1504 pixel 201 PPI, IPS",1.19 kg ( = 41.98 oz / 2.62 pounds) ( = 0 oz / 0 pounds),900 Euro
Xiaomi Mi Gaming Laptop 2019,2019,Intel Core i7-9750H,NVIDIA GeForce RTX 2060 Mobile,"16 GB  ,, 2x 8 GB SO-DIMM DDR4-2666, dual channel, all slots populated",", 512 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, NV156FHM-N4G (BOE0867), IPS, FHD, 144 Hz, glossy: no","2.6 kg ( = 91.71 oz / 5.73 pounds), Power Supply: 500 g ( = 17.64 oz / 1.1 pounds)",1400 EUR
